book_title, index_list, word_list
AliceInWonderland,[53, 54],['White', 'Rabbit']
AliceInWonderland,[87],['Rabbit']
AliceInWonderland,[140],['Rabbit']
AliceInWonderland,[871],['Dinah']
AliceInWonderland,[1143, 1144],['White', 'Rabbit']
AliceInWonderland,[1213],['Rabbit']
DavidCopperfield,[913],['Trotwood']
DavidCopperfield,[1769],['Trotwood']
Dracula,[1269, 1270],['Count', 'Dracula']
Dracula,[1535],['Count']
Dracula,[1652, 1653],['Count', 'Dracula']
Emma,[1588],['James']
HuckleberryFinn,[89, 90],['Aunt', 'Polly']
HuckleberryFinn,[92],['Tom']
HuckleberryFinn,[94, 95],['Aunt', 'Polly']
HuckleberryFinn,[811],['Huckleberry']
HuckleberryFinn,[823],['Huckleberry']
HuckleberryFinn,[846],['Huckleberry']
PrideAndPrejudice,[259],['Bingley']
TheCallOfTheWild,[0],['Buck']
TheCallOfTheWild,[114],['Buck']
TheCallOfTheWild,[129, 130],['Judge', 'Miller']
TheCallOfTheWild,[270, 271],['Judge', 'Miller']
TheCallOfTheWild,[291],['Buck']
TheCallOfTheWild,[370],['Ysabel']
TheCallOfTheWild,[415],['Toots']
TheCallOfTheWild,[439],['Buck']
TheCallOfTheWild,[467],['Judge']
TheCallOfTheWild,[478],['Judge']
TheCallOfTheWild,[497],['Judge']
TheCallOfTheWild,[509],['Judge']
TheCallOfTheWild,[584, 585],['Judge', 'Miller']
TheCallOfTheWild,[605],['Judge']
TheCallOfTheWild,[611],['Buck']
TheCallOfTheWild,[790],['Buck']
TheCallOfTheWild,[814],['Buck']
TheCallOfTheWild,[908],['Judge']
TheCallOfTheWild,[944],['Buck']
TheCallOfTheWild,[952],['Buck']
TheCallOfTheWild,[1022],['Buck']
TheCallOfTheWild,[1053],['Buck']
TheCallOfTheWild,[1189],['Buck']
TheCallOfTheWild,[1837],['Buck']
TheCallOfTheWild,[1872],['Buck']
Ulysses,[904],['Algy']
VanityFair,[166],['Semiramis']
VanityFair,[263],['Amelia']
VanityFair,[734, 735],['Miss', 'Sharp']
VanityFair,[805],['Johnson']
VanityFair,[1132, 1133],['Miss', 'Sharp']
VanityFair,[1305],['Minerva']
VanityFair,[1392],['Minerva']
VanityFair,[1461, 1462],['Miss', 'Saltire']
VanityFair,[1496],['Amelia']
