Frankenstein,[578],["'"]
Frankenstein,[1280],['Heaven']
Frankenstein,[1315],['Archangel']
PrideAndPrejudice,[230],['Michaelmas']
PrideAndPrejudice,[1288],['Heaven']
Ulysses,[29],['Dei']
Ulysses,[273],['Chrysostomos']
Ulysses,[945],['Thalatta']
Ulysses,[947],['Thalatta']
Ulysses,[1059],['Kinch']
Ulysses,[1906],['God']
DavidCopperfield,[1681],['Saracen']
AliceInWonderland,[871],['Dinah']
AliceInWonderland,[887],['Dinah']
AliceInWonderland,[908],['Dinah']
AliceInWonderland,[1052],['Dinah']
AliceInWonderland,[1064],['Dinah']
VanityFair,[1085],['Sedley']
VanityFair,[1358],['Dixonary']
OliverTwist,[309],['Nature']
